未知地区,#genre#
CCTV1综合+,http://192.168.102.1/hls/1/index.m3u8
CCTV2,http://192.168.102.1/hls/81/index.m3u8
CCTV3,http://192.168.102.1/hls/3/index.m3u8
CCTV4,http://192.168.102.1/hls/4/index.m3u8
CCTV5,http://192.168.102.1/hls/5/index.m3u8
CCTV5+,http://192.168.102.1/hls/18/index.m3u8
CCTV6,http://192.168.102.1/hls/6/index.m3u8
CCTV7,http://192.168.102.1/hls/7/index.m3u8
CCTV8,http://192.168.102.1/hls/8/index.m3u8
CCTV9,http://192.168.102.1/hls/9/index.m3u8
CCTV10,http://192.168.102.1/hls/10/index.m3u8
CCTV12,http://192.168.102.1/hls/12/index.m3u8
CCTV13,http://192.168.102.1/hls/13/index.m3u8
CCTV14,http://192.168.102.1/hls/14/index.m3u8
CCTV15,http://192.168.102.1/hls/15/index.m3u8
CCTV16奥运匹克,http://192.168.102.1/hls/16/index.m3u8
CCTV17,http://192.168.102.1/hls/17/index.m3u8
东南卫视,http://192.168.102.1/hls/37/index.m3u8
东方卫视,http://192.168.102.1/hls/27/index.m3u8
云南卫视,http://192.168.102.1/hls/49/index.m3u8
兵团卫视,http://192.168.102.1/hls/58/index.m3u8
内蒙古卫视,http://192.168.102.1/hls/53/index.m3u8
北京卫视,http://192.168.102.1/hls/29/index.m3u8
南方卫视,http://192.168.102.1/hls/32/index.m3u8
厦门卫视,http://192.168.102.1/hls/57/index.m3u8
吉林卫视,http://192.168.102.1/hls/51/index.m3u8
四川卫视,http://192.168.102.1/hls/39/index.m3u8
天津卫视,http://192.168.102.1/hls/26/index.m3u8
宁夏卫视,http://192.168.102.1/hls/52/index.m3u8
安多卫视,http://192.168.102.1/hls/61/index.m3u8
安徽卫视,http://192.168.102.1/hls/36/index.m3u8
山东卫视,http://192.168.102.1/hls/34/index.m3u8
山西卫视,http://192.168.102.1/hls/48/index.m3u8
广东卫视,http://192.168.102.1/hls/30/index.m3u8
广西卫视,http://192.168.102.1/hls/19/index.m3u8
康巴卫视,http://192.168.102.1/hls/59/index.m3u8
延边卫视,http://192.168.102.1/hls/60/index.m3u8
新疆卫视,http://192.168.102.1/hls/54/index.m3u8
江苏卫视,http://192.168.102.1/hls/28/index.m3u8
江西卫视,http://192.168.102.1/hls/38/index.m3u8
河北卫视,http://192.168.102.1/hls/43/index.m3u8
浙江卫视,http://192.168.102.1/hls/25/index.m3u8
海南卫视,http://192.168.102.1/hls/42/index.m3u8
深圳卫视,http://192.168.102.1/hls/33/index.m3u8
湖北卫视,http://192.168.102.1/hls/35/index.m3u8
湖南卫视,http://192.168.102.1/hls/24/index.m3u8
甘肃卫视,http://192.168.102.1/hls/46/index.m3u8
西藏卫视,http://192.168.102.1/hls/55/index.m3u8
贵州卫视,http://192.168.102.1/hls/40/index.m3u8
辽宁卫视,http://192.168.102.1/hls/44/index.m3u8
重庆卫视,http://192.168.102.1/hls/41/index.m3u8
陕西卫视,http://192.168.102.1/hls/50/index.m3u8
青海卫视,http://192.168.102.1/hls/47/index.m3u8
黑龙江卫视,http://192.168.102.1/hls/45/index.m3u8
优漫卡通,http://192.168.102.1/hls/66/index.m3u8
军事评论,http://192.168.102.1/hls/85/index.m3u8
军旅剧场,http://192.168.102.1/hls/84/index.m3u8
农业致富,http://192.168.102.1/hls/86/index.m3u8
动作电影,http://192.168.102.1/hls/83/index.m3u8
卡酷少儿,http://192.168.102.1/hls/65/index.m3u8
古装剧场,http://192.168.102.1/hls/82/index.m3u8
嘉佳卡通,http://192.168.102.1/hls/64/index.m3u8
山东教育,http://192.168.102.1/hls/70/index.m3u8
怡伴健康,http://192.168.102.1/hls/89/index.m3u8
热播精选,http://192.168.102.1/hls/75/index.m3u8
爱情喜剧,http://192.168.102.1/hls/77/index.m3u8
珠江..,http://192.168.102.1/hls/31/index.m3u8
精品大剧,http://192.168.102.1/hls/78/index.m3u8
精品纪录,http://192.168.102.1/hls/87/index.m3u8
金牌综艺,http://192.168.102.1/hls/80/index.m3u8
金鹰卡通,http://192.168.102.1/hls/63/index.m3u8
金鹰纪实,http://192.168.102.1/hls/62/index.m3u8
黑莓动画,http://192.168.102.1/hls/74/index.m3u8
黑莓电影,http://192.168.102.1/hls/73/index.m3u8
CCTV1,http://192.168.102.1/hls/1/index.m3u8
CCTV16,http://192.168.102.1/hls/16/index.m3u8
珠江,http://192.168.102.1/hls/31/index.m3u8
中国教育1,http://192.168.100.1/hls/67/index.m3u8
中国教育2,http://192.168.100.1/hls/68/index.m3u8
中国教育4,http://192.168.100.1/hls/69/index.m3u8
北京纪实,http://192.168.100.1/hls/56/index.m3u8
精品体育,http://192.168.100.1/hls/90/index.m3u8
sCCTV2财经,http://112.30.73.119:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
4CCTV3综艺,http://112.30.73.119:9901/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0
